nation,testname,date,latitude,longitude,yield,time,altitude,testtype,site
USSR,,08/01/62,50,78,2.4,,430,A,KS
USSR,,08/03/62,50,78,1.6,,180,A,KS
USSR,,08/04/62,50,78,3.8,,390,A,KS
USSR,,08/05/62,73.8,55,21100,909,3600,A,NZN
USSR,,08/07/62,50,78,9.9,930,0,A,KS
USSR,,08/10/62,73.8,55,1000,900,1560,A,NZN
USSR,,08/18/62,50,78,7.4,,710,A,KS
USSR,,08/18/62,50,78,5.8,,310,A,KS
USSR,,08/20/62,74.3,51.5,2800,02:14.1,2500,A,NZN
USSR,,08/21/62,50,78,100,,590,A,KS
USSR,,08/22/62,73.8,55,1600,900,1700,A,NZN
USSR,,08/22/62,73.8,55,6,,,A,NZN
USSR,,08/22/62,50,78,3,,740,A,KS
USSR,,08/23/62,50,78,2.5,,680,A,KS
USSR,,08/25/62,50,78,20,540,715,A,KS
USSR,,08/25/62,73.8,55,10000,900,2980,A,NZN
USSR,,08/27/62,73.8,55,4200,900,3000,A,NZN
USSR,,08/27/62,50,78,11,,245,A,KS
USSR,,08/31/62,50,78,2.7,,700,A,KS
USSR,,09/02/62,73.8,55,80,,1300,A,NZN
USSR,,09/08/62,73.8,55,1900,1018,1725,A,NZN
USSR,,09/15/62,74.4,51.5,3100,22:13.9,,A,NZN
USSR,,09/16/62,73.8,55,3250,1059,,A,NZN
USSR,,09/18/62,73.2,54.7,1350,49:02.7,2000,A,NZN
USSR,,09/19/62,73.8,53.8,20000,20:56.4,3280,A,NZN
USSR,,09/21/62,73.8,55,2400,801,3000,A,NZN
USSR,,09/22/62,50,78,0.21,,0,AS,KS
USSR,,09/24/62,50,78,1.2,,630,A,KS
USSR,,09/25/62,50,78,7,,0,AS,KS
USSR,,09/25/62,73.8,55,19100,1303,4090,A,NZN
USSR,,09/27/62,74.3,52.4,20000,23:16.4,3900,A,NZN
USSR,,09/28/62,50,78,1.3,,695,A,KS
USA,DOMINIC II-Androscoggin,10/02/62,14,-172,75,1618,2290,AD,JO
USA,DOMINIC II-Bumping,10/06/62,14.5,-168.5,11.3,1603,,AD,JO
USSR,,10/07/62,73.8,55,320,1632,1440,A,NZN
USSR,,10/09/62,50,78,8,,645,A,KS
USSR,,10/09/62,73.8,55,15,,3000,A,NZN
USSR,,10/10/62,50,78,9.2,,665,A,KS
USSR,,10/13/62,50,78,4.9,,720,A,KS
USSR,,10/14/62,50,78,20,,725,A,KS
USA,DOMINIC II-Chama,10/18/62,14.5,-169,1590,1601,0,AD,JO
USA,DOMINIC II-Checkmate,10/20/62,16,-169.5,6,830,150000,AR,JO
USSR,,10/20/62,50,78,6.7,,635,A,KS
USSR,,10/22/62,48,64,300,341,290000,AR,MT
USSR,,10/22/62,73.8,55,8200,906,3230,A,NZN
USA,DOMINIC II-Bluegill Triple Prime,10/26/62,16.9,-169.2,300,959,50000,AR,JO
USSR,,10/27/62,73.8,55,260,735,1550,A,NZN
USA,DOMINIC II-Calamity,10/27/62,14.5,-168.5,800,1546,3700,AD,JO
USSR,,10/28/62,50,78,7.8,,670,A,KS
USSR,,10/28/62,48,44,300,441,150000,AR,MT
USSR,,10/28/62,50,78,7.8,,645,A,KS
USSR,,10/29/62,73.8,55,360,735,1550,A,NZN
USSR,,10/30/62,50,78,1.2,,0,A,KS
USSR,,10/30/62,73.8,55,280,,1500,A,NZN
USA,DOMINIC II-Housatonic,10/30/62,13.5,-172,8300,1602,3700,AD,JO
USSR,,10/31/62,50,78,10,,690,A,KS
USSR,,11/01/62,50,78,3,,700,A,KS
USSR,,11/01/62,73.8,55,240,630,1500,A,NZN
USSR,,11/01/62,48,44,300,920,59000,AR,MT
USA,DOMINIC II-Kingfish,11/01/62,16.6,-169.4,300,1210,95000,AR,JO
USSR,,11/03/62,73.8,55,390,831,1500,A,NZN
USSR,,11/03/62,73.8,55,45,,4000,A,NZN
USSR,,11/03/62,50,78,4.7,,710,A,KS
USSR,,11/04/62,50,78,8.4,,600,A,KS
USA,DOMINIC II-Tightrope,11/04/62,17.1,-169.1,6,730,25000,AR,JO
USSR,,11/05/62,50,78,0.4,,15,AS,KS
USSR,,11/11/62,50,78,0.1,,8,AS,KS
USSR,,11/13/62,50,78,0.0005,,0,AS,KS
USSR,,11/14/62,50,78,12,,660,A,KS
USSR,,11/17/62,50,78,18,,715,A,KS
USSR,,11/24/62,50,78,0.0005,,0,AS,KS
USSR,,11/26/62,50,78,0.031,,0,AS,KS
USSR,,12/01/62,50,78,2.4,,680,A,KS
USSR,,12/18/62,73.8,55,110,,1600,A,NZN
USSR,,12/18/62,73.8,55,69,,1500,A,NZN
USSR,,12/20/62,73.8,55,8.3,,1070,A,NZN
USSR,,12/22/62,73.8,55,6.3,,1050,A,NZN
USSR,,12/23/62,73.8,55,430,1115,1460,A,NZN
USSR,,12/23/62,73.8,55,8.3,,1470,A,NZN
USSR,,12/23/62,73.8,55,2.4,,1270,A,NZN
USSR,,12/23/62,50,78,0.0005,,0,AS,KS
USSR,,12/24/62,50,78,0.007,,0,AS,KS
USSR,,12/24/62,50,78,0.028,,0,AS,KS
USSR,,12/24/62,74.2,52.3,1100,24:21.9,1320,A,NZN
USSR,,12/24/62,73.6,57.5,24200,31:42.0,3750,A,NZN
USSR,,12/25/62,73.4,56.5,3100,15:57.2,2250,A,NZN
USSR,,12/25/62,73.8,55,8.5,,990,A,NZN
PRC,,10/16/64,41.35,88.3,22,700:00:00,102,AT,LN
PRC,,05/14/65,41,89,35,200:00:00,500,AD,LN
PRC,,05/09/66,41,89,250,800:00:00,,AD,LN
France,Aldebaran,07/02/66,-21.8,-139,28,1534,0,AW,MU
France,Tamoure,07/19/66,-23,-139,75,1505,0,AD,FA
France,Ganymede X,07/21/66,-21.8,-139,0,1200,0,AS,MU
France,Betelgeuse,09/11/66,-21.8,-139,120,1730,600,AB,MU
France,Rigel,09/24/66,-22.2,-138.7,150,1700,3,AW,FA
France,Sirius,10/04/66,-21.8,-139,300,2100,3,AW,MU
PRC,,10/27/66,41,89,12,110:00:00,569,AR,LN
PRC,,12/28/66,41,89,122,400:00:00,102,AT,LN
France,Altair,06/05/67,-21.8,-139,,1900,,AB,MU
France,Antares,06/27/67,-21.8,-139,,1930,,AB,MU
France,Arcturus,07/02/67,-21.8,-139,,1730,0,AB,MU
PRC,,06/17/67,40.744,89.775,3300,0019:08.2,2960,AD,LN
PRC,,12/24/67,41,89,20,400:00:00,,AD,LN
France,,07/07/68,-21.8,-139,,2200,,AB,MU
France,,07/15/68,-21.8,-139,500,1900,,AB,MU
France,,08/03/68,-21.8,-139,500,2100,,AB,MU
France,Canopus,08/24/68,-22.25,-138.75,2600,1829:59:00,600,AB,FA
France,Procyon,09/08/68,-21.78,-139.16,1200,1859:59:00,600,AB,MU
PRC,,12/27/68,41,89,3000,730:00:00,,AD,LN
PRC,,09/29/69,40.722,89.515,3000,00:21.4,,AD,LN
France,Andromede,05/15/70,-21.8,-139,,1800,,AB,MU
France,Cassiopee,05/22/70,-22.2,-138.7,,1830,,AB,FA
France,Dragon,05/30/70,-22.24,-138.79,1000,19:58.5,,AB,FA
France,Eridan,06/24/70,-21.8,-139,,1830,,AB,MU
France,Licorne,07/03/70,-21.8,-139.2,1000,29:59.1,60,AB,MU
France,Pegase,07/27/70,-21.8,-139,,1900,,AB,MU
France,Orion,08/02/70,-22.2,-138.7,,1900,,AB,FA
France,Toucan,08/06/70,-21.8,-139,,1900,,AB,MU
PRC,,10/14/70,40.52,89.779,3400,09:56.9,,AD,LN
France,Dione,06/05/71,-21.8,-139,15,1915,,AB,MU
France,Encelade,06/12/71,-23.8,-137.2,475,1914:57:00,,AB,FA
France,Japet,07/04/71,-21.8,-139,,2130,,AB,MU
France,Phoebe,08/08/71,-21.8,-139,,1830,,AB,MU
France,Rhea,08/14/71,-21.88,-138.95,1000,59:59.2,,AB,MU
PRC,,11/18/71,41,89,15,600:00:00,,AT,LN
PRC,,01/07/72,41,89,8,700:00:00,,AD,LN
PRC,,03/18/72,41,89,170,600:00:00,,AD,LN
France,,06/25/72,-21.8,-139,,,,A,MU
France,,06/30/72,-21.8,-139,,,,A,MU
France,,07/29/72,-21.8,-139,,,,A,MU
France,,07/21/73,-21.8,-139,5.5,1800,,AB,MU
PRC,,06/27/73,40.7985,89.8091,2500,59:46.3,,AD,LN
France,,07/28/73,-21.8,-139,2,2303,,AB,MU
France,,08/19/73,-21.8,-139,7,,,A,MU
France,,08/25/73,-21.8,-139,,,,A,MU
France,,08/27/73,-21.8,-139,6.6,,,AD,MU
France,,03/13/00,-21.8,-139,0,,,AS,MU
France,,03/14/00,-21.8,-139,0,,,AS,MU
France,,06/16/74,-21.8,-139,10,,,AB,MU
PRC,,06/17/74,40.518,89.619,1000,19:52.7,,A,LN
France,,07/07/74,-21.8,-139,150,,,AB,MU
France,,07/17/74,-21.8,-139,,,,A,MU
France,,07/26/74,-21.8,-139,0,,,AD,MU
France,,07/29/74,-21.8,-139,,,,A,MU
France,,08/15/74,-21.8,-139,,,,A,MU
France,,08/25/74,-21.8,-139,,,,A,MU
France,,09/15/74,-21.8,-139,1000,,,A,MU
PRC,,01/23/76,41,89,5,600:00:00,,A,LN
PRC,,09/26/76,41,89,200,600:00:00,,A,LN
PRC,,11/17/76,40.696,89.627,4000,00:12.7,,A,LN
PRC,,09/17/77,41.5,89,5,700:00:00,,A,LN
PRC,,03/15/78,41.5,89,10,500:00:00,,A,LN
PRC,,12/14/78,41.5,89,5,,,A,LN
PRC,,09/13/79,41,89,,,,AS,LN
RSA,,09/22/79,-46.6,38,3,100,,A,AS
PRC,,10/16/80,40.719,89.651,450,10:29.7,,A,LN
